mmsi,vessel_name,vessel_type,lon,lat,sog,cog,timestamp
# Realistic Gulf of Mexico Shipping Telemetry (Mississippi Canyon / Macondo Sector)
# 1. Suspect Tanker: Discharging bilge oil along corridor
355000109,PACIFIC_VOYAGER,TANKER,-88.3800,28.7800,12.4,135.0,1699985600
355000109,PACIFIC_VOYAGER,TANKER,-88.3550,28.7550,12.2,135.0,1699992800
355000109,PACIFIC_VOYAGER,TANKER,-88.3320,28.7350,11.8,138.0,1700000000
355000109,PACIFIC_VOYAGER,TANKER,-88.3100,28.7100,12.5,135.0,1700007200
# 2. Dark Vessel: Shuts transponder off across spill window, coincident with metallic radar contact
412999001,GHOST_CRUDE,TANKER,-88.3600,28.7600,10.5,45.0,1699978400
412999001,GHOST_CRUDE,TANKER,-88.3150,28.7190,10.8,45.0,1700014400
# 3. Spoofed Vessel: Teleporting at 54 knots (GPS fraud)
538000212,SPOOF_RUNNER,CARGO,-88.3400,28.7400,54.2,90.0,1700000000
# 4. Normal Container Traffic: Channel transit outside exclusion zone
636015000,CMA_CGM_GULF,CARGO,-88.4500,28.6500,18.0,270.0,1699992800
636015000,CMA_CGM_GULF,CARGO,-88.4000,28.6510,18.2,270.0,1700000000
636015000,CMA_CGM_GULF,CARGO,-88.3500,28.6490,17.9,270.0,1700007200
# 5. Offshore Support Vessel (OSV)
368000450,OCEAN_SURVEYOR,OFFSHORE,-88.2900,28.7300,4.2,15.0,1700000000
368000450,OCEAN_SURVEYOR,OFFSHORE,-88.2910,28.7320,3.8,12.0,1700003600
