mmsi,vessel_name,vessel_type,lon,lat,sog,cog,timestamp
# Realistic Indian Ocean Shipping Telemetry: Mumbai High Offshore Basin (Arabian Sea)
# EEZ Sector: 19.35N, 71.35E | ONGC Offshore Drilling Infrastructure & Tanker Fairway

# 1. Suspect Polluter: Foreign flag tanker discharging oily ballast water along Mumbai High fairway
636019842,NEPTUNE_TRANSIT,TANKER,71.3450,19.3550,12.4,135.0,1699985600
636019842,NEPTUNE_TRANSIT,TANKER,71.3580,19.3420,12.2,135.0,1699992800
636019842,NEPTUNE_TRANSIT,TANKER,71.3665,19.3348,11.8,138.0,1700000000
636019842,NEPTUNE_TRANSIT,TANKER,71.3790,19.3220,12.5,135.0,1700007200

# 2. Dark Vessel: Panama-flagged crude carrier with 11-hour AIS blackout coincident with metallic radar contact
412888901,SHADOW_CARRIER,TANKER,71.3600,19.3400,10.5,45.0,1699976400
412888901,SHADOW_CARRIER,TANKER,71.3950,19.3750,10.8,45.0,1700016000

# 3. Spoofed Vessel: Fraudulent AIS GPS jump (>50 knots displacement hull impossibility)
538009115,FAST_RUNNER,CARGO,71.3620,19.3380,52.4,90.0,1700000000

# 4. Indian Flag VLCC (Shipping Corporation of India): Routine crude transit to Mumbai/JNPT
419000120,DESH_SHANTI,TANKER,71.3100,19.2800,14.5,65.0,1699992800
419000120,DESH_SHANTI,TANKER,71.3350,19.2920,14.2,65.0,1700000000
419000120,DESH_SHANTI,TANKER,71.3600,19.3040,14.4,65.0,1700007200

# 5. ONGC Offshore Support Vessel (OSV): Maintenance station-keeping near Mumbai High platform
419000450,SAMUDRIKA_10,OFFSHORE,71.3850,19.3180,3.5,18.0,1700000000
419000450,SAMUDRIKA_10,OFFSHORE,71.3860,19.3200,3.2,15.0,1700003600

# 6. Indian Coast Guard Offshore Patrol Vessel (ICGS SAMRAT): Sovereign maritime EEZ patrol
419000999,ICGS_SAMRAT,LAW_ENFORCEMENT,71.3000,19.3800,18.0,120.0,1699990000
419000999,ICGS_SAMRAT,LAW_ENFORCEMENT,71.3400,19.3600,17.8,120.0,1700000000
419000999,ICGS_SAMRAT,LAW_ENFORCEMENT,71.3800,19.3400,18.2,120.0,1700010000
